Ticker,Name,Series Type,Currency,Country,Sector,Industry,Sic,Exchange,Cik,Fiscal_End,Units,Scale,Flow,Adjustment,Periodicity,Metadata,Corporate_History
_VIXD,CBOE S&P 500 Volatility Index (VIX),Stocks - Technical Indicators,Non Currency Series,United States,,,,,,,Index Number ,Units,Stock,none,Daily From Jan 1986 To Apr 2022<BR>,,
Date,Ticker,Open,High,Low,Close
03/11/1997,_VIXD,,,,20.72
03/12/1997,_VIXD,,,,21.63
03/13/1997,_VIXD,,,,23
03/14/1997,_VIXD,,,,21.83
03/17/1997,_VIXD,,,,23.04
03/18/1997,_VIXD,,,,24.28
03/19/1997,_VIXD,,,,23.75
03/20/1997,_VIXD,,,,23.76
03/21/1997,_VIXD,,,,21.88
03/24/1997,_VIXD,,,,21.84
03/25/1997,_VIXD,,,,21.02
03/26/1997,_VIXD,,,,20.27
03/27/1997,_VIXD,,,,22.77
03/31/1997,_VIXD,,,,20.65
04/01/1997,_VIXD,,,,22.81
04/02/1997,_VIXD,,,,23.58
04/03/1997,_VIXD,,,,23.37
04/04/1997,_VIXD,,,,21.53
04/07/1997,_VIXD,,,,19.83
04/08/1997,_VIXD,,,,19.67
04/09/1997,_VIXD,,,,20.59
04/10/1997,_VIXD,,,,21.03
04/11/1997,_VIXD,,,,22.21
04/14/1997,_VIXD,,,,21.7
04/15/1997,_VIXD,,,,20.84
04/16/1997,_VIXD,,,,20.49
04/17/1997,_VIXD,,,,20.78
04/18/1997,_VIXD,,,,20.48
04/21/1997,_VIXD,,,,21.17
04/22/1997,_VIXD,,,,21.17
04/23/1997,_VIXD,,,,22.21
04/24/1997,_VIXD,,,,22.38
04/25/1997,_VIXD,,,,22.73
04/28/1997,_VIXD,,,,22.1
04/29/1997,_VIXD,,,,21.31
04/30/1997,_VIXD,,,,21.19
05/01/1997,_VIXD,,,,21.52
05/02/1997,_VIXD,,,,19.01
05/05/1997,_VIXD,,,,22.27
05/06/1997,_VIXD,,,,22.24
05/07/1997,_VIXD,,,,22.6
05/08/1997,_VIXD,,,,22.57
05/09/1997,_VIXD,,,,21.9
05/12/1997,_VIXD,,,,21.96
05/13/1997,_VIXD,,,,22.35
05/14/1997,_VIXD,,,,23.47
05/15/1997,_VIXD,,,,21.16
05/16/1997,_VIXD,,,,24.21
05/19/1997,_VIXD,,,,23.64
05/20/1997,_VIXD,,,,21.7
05/21/1997,_VIXD,,,,21.34
05/22/1997,_VIXD,,,,21
05/23/1997,_VIXD,,,,20.44
05/27/1997,_VIXD,,,,21.72
05/28/1997,_VIXD,,,,21.63
05/29/1997,_VIXD,,,,21.63
05/30/1997,_VIXD,,,,22.12
06/02/1997,_VIXD,,,,21.92
06/03/1997,_VIXD,,,,22.47
06/04/1997,_VIXD,,,,22.72
06/05/1997,_VIXD,,,,22.97
06/06/1997,_VIXD,,,,22.13
06/09/1997,_VIXD,,,,21.89
06/10/1997,_VIXD,,,,21.44
06/11/1997,_VIXD,,,,21.45
06/12/1997,_VIXD,,,,22.06
06/13/1997,_VIXD,,,,22.61
06/16/1997,_VIXD,,,,22.88
06/17/1997,_VIXD,,,,22.99
06/18/1997,_VIXD,,,,22.82
06/19/1997,_VIXD,,,,22.89
06/20/1997,_VIXD,,,,22.44
06/23/1997,_VIXD,,,,24.11
06/24/1997,_VIXD,,,,22.68
06/25/1997,_VIXD,,,,24.25
06/26/1997,_VIXD,,,,23.97
06/27/1997,_VIXD,,,,23.58
06/30/1997,_VIXD,,,,23.34
07/01/1997,_VIXD,,,,23.38
07/02/1997,_VIXD,,,,21.42
07/03/1997,_VIXD,,,,20.47
07/07/1997,_VIXD,,,,21.81
07/08/1997,_VIXD,,,,21.14
07/09/1997,_VIXD,,,,23.6
07/10/1997,_VIXD,,,,22.41
07/11/1997,_VIXD,,,,22.03
07/14/1997,_VIXD,,,,23.12
07/15/1997,_VIXD,,,,22.59
07/16/1997,_VIXD,,,,22.63
07/17/1997,_VIXD,,,,24.14
07/18/1997,_VIXD,,,,26.12
07/21/1997,_VIXD,,,,26.28
07/22/1997,_VIXD,,,,24.26
07/23/1997,_VIXD,,,,24.04
07/24/1997,_VIXD,,,,23.48
07/25/1997,_VIXD,,,,23.49
07/28/1997,_VIXD,,,,23.85
07/29/1997,_VIXD,,,,24.04
07/30/1997,_VIXD,,,,23.4
07/31/1997,_VIXD,,,,23.75
08/01/1997,_VIXD,,,,24.2
08/04/1997,_VIXD,,,,22.43
08/05/1997,_VIXD,,,,21.83
08/06/1997,_VIXD,,,,20.89
08/07/1997,_VIXD,,,,20.91
08/08/1997,_VIXD,,,,24.3
08/11/1997,_VIXD,,,,25.08
08/12/1997,_VIXD,,,,25.3
08/13/1997,_VIXD,,,,26.05
08/14/1997,_VIXD,,,,25.99
08/15/1997,_VIXD,,,,28.14
08/18/1997,_VIXD,,,,26.14
08/19/1997,_VIXD,,,,24.39
08/20/1997,_VIXD,,,,23.22
08/21/1997,_VIXD,,,,26.82
08/22/1997,_VIXD,,,,26.71
08/25/1997,_VIXD,,,,26.39
08/26/1997,_VIXD,,,,27.25
08/27/1997,_VIXD,,,,26.9
08/28/1997,_VIXD,,,,27.35
08/29/1997,_VIXD,,,,27.94
09/02/1997,_VIXD,,,,26.75
09/03/1997,_VIXD,,,,27.02
09/04/1997,_VIXD,,,,28.28
09/05/1997,_VIXD,,,,26.62
09/08/1997,_VIXD,,,,26.27
09/09/1997,_VIXD,,,,25.44
09/10/1997,_VIXD,,,,27.5
09/11/1997,_VIXD,,,,27.55
09/12/1997,_VIXD,,,,27.09
09/15/1997,_VIXD,,,,27.26
09/16/1997,_VIXD,,,,25.62
09/17/1997,_VIXD,,,,25.87
09/18/1997,_VIXD,,,,25.57
09/19/1997,_VIXD,,,,24.43
09/22/1997,_VIXD,,,,23.37
09/23/1997,_VIXD,,,,23.17
09/24/1997,_VIXD,,,,23.89
09/25/1997,_VIXD,,,,24.68
09/26/1997,_VIXD,,,,23.82
09/29/1997,_VIXD,,,,22.95
09/30/1997,_VIXD,,,,24.3
10/01/1997,_VIXD,,,,23.69
10/02/1997,_VIXD,,,,24.17
10/03/1997,_VIXD,,,,23.04
10/06/1997,_VIXD,,,,22.31
10/07/1997,_VIXD,,,,21.25
10/08/1997,_VIXD,,,,22.16
10/09/1997,_VIXD,,,,22.23
10/10/1997,_VIXD,,,,22.5
10/13/1997,_VIXD,,,,22.51
10/14/1997,_VIXD,,,,22.1
10/15/1997,_VIXD,,,,23.03
10/16/1997,_VIXD,,,,23.62
10/17/1997,_VIXD,,,,23.94
10/20/1997,_VIXD,,,,22.24
10/21/1997,_VIXD,,,,21.79
10/22/1997,_VIXD,,,,21.9
10/23/1997,_VIXD,,,,25.34
10/24/1997,_VIXD,,,,26.19
10/27/1997,_VIXD,,,,39.96
10/28/1997,_VIXD,,,,30.46
10/29/1997,_VIXD,,,,32.31
10/30/1997,_VIXD,,,,37.96
10/31/1997,_VIXD,,,,34.46
11/03/1997,_VIXD,,,,30.26
11/04/1997,_VIXD,,,,31.19
11/05/1997,_VIXD,,,,30.68
11/06/1997,_VIXD,,,,31.49
11/07/1997,_VIXD,,,,35.29
11/10/1997,_VIXD,,,,36.76
11/11/1997,_VIXD,,,,35.24
11/12/1997,_VIXD,,,,37.78
11/13/1997,_VIXD,,,,36.98
11/14/1997,_VIXD,,,,33.04
11/17/1997,_VIXD,,,,30.11
11/18/1997,_VIXD,,,,31.78
11/19/1997,_VIXD,,,,30.2
11/20/1997,_VIXD,,,,27.98
11/21/1997,_VIXD,,,,26.75
11/24/1997,_VIXD,,,,29.63
11/25/1997,_VIXD,,,,28.7
11/26/1997,_VIXD,,,,28.95
11/28/1997,_VIXD,,,,27.51
12/01/1997,_VIXD,,,,24.88
12/02/1997,_VIXD,,,,25.14
12/03/1997,_VIXD,,,,22.87
12/04/1997,_VIXD,,,,24.04
12/05/1997,_VIXD,,,,22.59
12/08/1997,_VIXD,,,,22.15
12/09/1997,_VIXD,,,,22.63
12/10/1997,_VIXD,,,,24.53
12/11/1997,_VIXD,,,,27.99
12/12/1997,_VIXD,,,,29.14
